Remote Browser Emulator for TPC-W.
  ECE 902  Fall '99
  Version 1.5
System's current path is /root/loadtest
rt:0.1,through:2.4,tt:0.31,num_interact:36,Intrvl:15,num_users:1,errors:0
rt:1.38,through:10.93,tt:0.34,num_interact:164,Intrvl:15,num_users:20,errors:0
rt:5.2,through:10.8,tt:0.44,num_interact:162,Intrvl:15,num_users:80,errors:0
rt:7.3,through:12.93,tt:0.41,num_interact:194,Intrvl:15,num_users:120,errors:0
rt:9.03,through:12.93,tt:0.41,num_interact:194,Intrvl:15,num_users:180,errors:0
rt:13.37,through:13.2,tt:0.39,num_interact:198,Intrvl:15,num_users:240,errors:0
rt:17.63,through:13,tt:0.35,num_interact:195,Intrvl:15,num_users:280,errors:0
rt:19.3,through:12.67,tt:0.36,num_interact:190,Intrvl:15,num_users:310,errors:0
rt:22.37,through:13.27,tt:0.35,num_interact:199,Intrvl:15,num_users:370,errors:0
rt:26.01,through:12.93,tt:0.33,num_interact:194,Intrvl:15,num_users:440,errors:0
rt:28.19,through:12.87,tt:0.34,num_interact:193,Intrvl:15,num_users:484,errors:0
rt:31.45,through:13.27,tt:0.4,num_interact:199,Intrvl:15,num_users:487,errors:0
rt:36.49,through:12.73,tt:0.37,num_interact:191,Intrvl:15,num_users:479,errors:0
rt:37.37,through:12.93,tt:0.33,num_interact:194,Intrvl:15,num_users:574,errors:0
rt:37.76,through:12.53,tt:0.35,num_interact:188,Intrvl:15,num_users:500,errors:0
rt:38.95,through:7.47,tt:0.36,num_interact:112,Intrvl:15,num_users:458,errors:0
rt:43.81,through:10,tt:0.3,num_interact:150,Intrvl:15,num_users:409,errors:0
rt:44.15,through:10.93,tt:0.39,num_interact:164,Intrvl:15,num_users:426,errors:0
rt:38.78,through:12.27,tt:0.38,num_interact:184,Intrvl:15,num_users:494,errors:0
rt:33.61,through:12.87,tt:0.39,num_interact:193,Intrvl:15,num_users:515,errors:0
rt:36.69,through:12.93,tt:0.42,num_interact:194,Intrvl:15,num_users:489,errors:0
rt:37.94,through:10.73,tt:0.38,num_interact:161,Intrvl:15,num_users:444,errors:0
rt:39.57,through:11.53,tt:0.37,num_interact:173,Intrvl:15,num_users:454,errors:0
rt:37.5,through:12.2,tt:0.32,num_interact:183,Intrvl:15,num_users:512,errors:0
rt:37,through:12.67,tt:0.35,num_interact:190,Intrvl:15,num_users:487,errors:0
rt:39.1,through:10.73,tt:0.34,num_interact:161,Intrvl:15,num_users:462,errors:0
rt:38.61,through:12,tt:0.36,num_interact:180,Intrvl:15,num_users:448,errors:0
rt:38.28,through:12.33,tt:0.32,num_interact:185,Intrvl:15,num_users:466,errors:0
rt:35.82,through:12.67,tt:0.39,num_interact:190,Intrvl:15,num_users:479,errors:0
rt:37.24,through:11.33,tt:0.35,num_interact:170,Intrvl:15,num_users:431,errors:0
rt:36.24,through:11.33,tt:0.31,num_interact:170,Intrvl:15,num_users:413,errors:0
rt:35.33,through:12,tt:0.36,num_interact:180,Intrvl:15,num_users:435,errors:0
rt:33.74,through:12.87,tt:0.38,num_interact:193,Intrvl:15,num_users:484,errors:0
rt:34.34,through:13,tt:0.34,num_interact:195,Intrvl:15,num_users:483,errors:0
rt:36.61,through:12.8,tt:0.39,num_interact:192,Intrvl:15,num_users:515,errors:0
rt:36.37,through:12.87,tt:0.35,num_interact:193,Intrvl:15,num_users:461,errors:0
rt:38.03,through:10,tt:0.32,num_interact:150,Intrvl:15,num_users:470,errors:0
rt:38.96,through:11.53,tt:0.36,num_interact:173,Intrvl:15,num_users:416,errors:0
rt:40.51,through:11.47,tt:0.41,num_interact:172,Intrvl:15,num_users:454,errors:0
rt:36.36,through:11.87,tt:0.36,num_interact:178,Intrvl:15,num_users:480,errors:0
rt:35.06,through:13,tt:0.35,num_interact:195,Intrvl:15,num_users:487,errors:0
rt:36.5,through:13.07,tt:0.36,num_interact:196,Intrvl:15,num_users:561,errors:0
rt:37.38,through:11.93,tt:0.33,num_interact:179,Intrvl:15,num_users:455,errors:0
rt:40.01,through:8.13,tt:0.37,num_interact:122,Intrvl:15,num_users:400,errors:0
rt:41.44,through:9.67,tt:0.33,num_interact:145,Intrvl:15,num_users:381,errors:0
rt:38.92,through:10.27,tt:0.38,num_interact:154,Intrvl:15,num_users:517,errors:0
rt:37.59,through:12.33,tt:0.38,num_interact:185,Intrvl:15,num_users:536,errors:0
rt:39.14,through:11.2,tt:0.42,num_interact:168,Intrvl:15,num_users:475,errors:0
rt:40.99,through:10.6,tt:0.37,num_interact:159,Intrvl:15,num_users:500,errors:0
rt:41.51,through:12.4,tt:0.39,num_interact:186,Intrvl:15,num_users:472,errors:0
rt:40.72,through:11,tt:0.37,num_interact:165,Intrvl:15,num_users:452,errors:0
rt:39.21,through:9.47,tt:0.37,num_interact:142,Intrvl:15,num_users:347,errors:0
rt:36.78,through:9.53,tt:0.37,num_interact:143,Intrvl:15,num_users:426,errors:0
rt:34.49,through:12.07,tt:0.33,num_interact:181,Intrvl:15,num_users:389,errors:0
rt:34.31,through:10.87,tt:0.38,num_interact:163,Intrvl:15,num_users:385,errors:0
rt:33.33,through:12.2,tt:0.41,num_interact:183,Intrvl:15,num_users:392,errors:0
