Remote Browser Emulator for TPC-W.
  ECE 902  Fall '99
  Version 1.5
System's current path is /root/loadtest
rt:26.58,through:11.67,tt:0.29,num_interact:175,Intrvl:15,num_users:494,errors:0
rt:37.2,through:10.67,tt:0.51,num_interact:160,Intrvl:15,num_users:487,errors:0
rt:42.01,through:12,tt:0.41,num_interact:180,Intrvl:15,num_users:469,errors:0
rt:40.66,through:11.13,tt:0.31,num_interact:167,Intrvl:15,num_users:440,errors:0
rt:38.23,through:10.53,tt:0.35,num_interact:158,Intrvl:15,num_users:405,errors:0
rt:37.51,through:11.87,tt:0.38,num_interact:178,Intrvl:15,num_users:588,errors:0
rt:36.61,through:11.73,tt:0.38,num_interact:176,Intrvl:15,num_users:517,errors:0
rt:39.38,through:8.67,tt:0.38,num_interact:130,Intrvl:15,num_users:480,errors:0
rt:41.83,through:11.93,tt:0.32,num_interact:179,Intrvl:15,num_users:498,errors:3
rt:37.99,through:13.6,tt:0.33,num_interact:206,Intrvl:15,num_users:444,errors:0
rt:33.84,through:17.87,tt:0.35,num_interact:268,Intrvl:15,num_users:500,errors:0
rt:27.53,through:16.73,tt:0.34,num_interact:251,Intrvl:15,num_users:472,errors:0
rt:25.17,through:17.53,tt:0.35,num_interact:263,Intrvl:15,num_users:430,errors:0
rt:20.47,through:18.8,tt:0.35,num_interact:282,Intrvl:15,num_users:512,errors:0
rt:19.98,through:21.93,tt:0.41,num_interact:329,Intrvl:15,num_users:561,errors:0
rt:27.63,through:10,tt:0.3,num_interact:150,Intrvl:15,num_users:412,errors:0
rt:30.39,through:11.27,tt:0.29,num_interact:169,Intrvl:15,num_users:512,errors:8
rt:36.01,through:10.8,tt:0.33,num_interact:162,Intrvl:15,num_users:496,errors:4
rt:34.44,through:13,tt:0.41,num_interact:195,Intrvl:15,num_users:515,errors:7
rt:38.05,through:11,tt:0.37,num_interact:165,Intrvl:15,num_users:510,errors:0
rt:38.48,through:14.13,tt:0.36,num_interact:212,Intrvl:15,num_users:504,errors:18
rt:41.03,through:13.33,tt:0.4,num_interact:200,Intrvl:15,num_users:494,errors:4
rt:38.72,through:9.73,tt:0.34,num_interact:146,Intrvl:15,num_users:455,errors:1
rt:35.28,through:11.73,tt:0.34,num_interact:176,Intrvl:15,num_users:414,errors:14
rt:38.32,through:12.8,tt:0.38,num_interact:192,Intrvl:15,num_users:384,errors:7
rt:31.08,through:9.67,tt:0.3,num_interact:145,Intrvl:15,num_users:407,errors:4
rt:30.16,through:14.13,tt:0.34,num_interact:212,Intrvl:15,num_users:458,errors:19
rt:37.94,through:10.6,tt:0.33,num_interact:159,Intrvl:15,num_users:421,errors:8
rt:35.08,through:11.8,tt:0.37,num_interact:177,Intrvl:15,num_users:445,errors:10
rt:33.76,through:13.47,tt:0.33,num_interact:202,Intrvl:15,num_users:417,errors:15
